year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
2013,Toyota,Camry,LE,Sedan,automatic,4t1bf1fk8du270965,wi,2.9,42465,black,gray,"toyota financial services/avis budget group-open",13600,13400,Wed Feb 11 2015 02:00:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,G37x,G Sedan,,jn1cv6ar8dm754070,nj,3.6,17315,gray,black,"nissan infiniti lt",22200,20400,Wed Mar 04 2015 01:30:00 GMT-0800 (PST)
2014,Dodge,Charger,R/T,Sedan,automatic,2c3cdxctxeh221466,tx,4.4,17383,burgundy,black,"chrysler capital",25100,27000,Wed May 27 2015 03:30:00 GMT-0700 (PDT)
2008,Mercedes-Benz,GL-Class,GL450,SUV,automatic,4jgbf71e98a349203,ca,3.5,121900,charcoal,black,"land rover newport beach",14350,14250,Wed Feb 25 2015 04:30:00 GMT-0800 (PST)
2012,Infiniti,G Sedan,G25x,G Sedan,automatic,jn1dv6ar8cm730354,il,3.8,30967,gray,black,"nissan infiniti lt",17350,16900,Thu May 28 2015 03:00:00 GMT-0700 (PDT)
2011,Hyundai,Sonata,SE,Sedan,automatic,5npec4ac3bh164698,nc,3.8,103243,white,black,"north state acceptance",8925,9400,Mon Feb 02 2015 01:00:00 GMT-0800 (PST)
2015,Chevrolet,Tahoe,LT,SUV,automatic,1gnskbkc6fr214654,ca,2,22566,gray,black,"enterprise vehicle exchange / tra / rental / tulsa",45100,28000,Thu May 14 2015 05:00:00 GMT-0700 (PDT)
2014,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3apxec401902,fl,4.3,10986,black,black,"nissan motor acceptance corporation",16900,15200,Tue Feb 03 2015 01:30:00 GMT-0800 (PST)
2008,Dodge,Avenger,SE,sedan,automatic,1b3lc46k88n169123,mi,4.5,94081,blue,gray,"kevins marysville auto sales inc",3975,6100,Thu Jun 18 2015 02:30:00 GMT-0700 (PDT)
2012,Dodge,Charger,SE,Sedan,automatic,2c3cdxbg6ch111371,ga,2.7,96172,black,black,"wells fargo dealer services",11700,11900,Thu Feb 19 2015 02:00:00 GMT-0800 (PST)
2014,Chevrolet,Impala Limited,LT Fleet,Sedan,automatic,2g1wb5e37e1157291,il,3,26041,white,gray,"gm remarketing",13350,13100,Tue Jun 02 2015 04:00:00 GMT-0700 (PDT)
2004,Pontiac,Grand Am,SE1,Sedan,automatic,1g2nf52e44m541095,az,1.9,144087,silver,gray,"nextgear capital",1575,400,Wed Jan 07 2015 11:00:00 GMT-0800 (PST)
2005,Acura,RSX,Type-S,Hatchback,manual,jh4dc53085s018502,nj,1.9,97805,red,gray,"credit acceptance corp/vrs/southfield",8375,7300,Tue May 26 2015 03:45:00 GMT-0700 (PDT)
2012,Honda,Civic,LX,Sedan,,2hgfb2f53ch543556,pa,4.2,33196,burgundy,beige,"ahfc/honda lease trust/hvt, inc. eot",10900,11800,Fri Feb 20 2015 09:00:00 GMT-0800 (PST)
2007,Audi,A4,2.0T,sedan,automatic,wauaf78e97a035889,fl,3.5,133401,blue,tan,"arg inc",4450,4600,Fri Jun 19 2015 02:30:00 GMT-0700 (PDT)
2008,Saturn,Aura,XR,Sedan,automatic,1g8zv57798f209524,ca,3.5,63580,silver,black,"lobel financial corp",6900,6800,Wed Dec 31 2014 12:30:00 GMT-0800 (PST)
2013,Ford,Explorer,XLT,SUV,automatic,1fm5k8d80dgb91197,ny,4.6,27228,white,tan,"ford motor credit company,llc",28200,27900,Wed Feb 11 2015 01:20:00 GMT-0800 (PST)
2007,Chevrolet,Equinox,LT,SUV,automatic,2cndl73fx76240865,wi,4.5,83915,blue,gray,"members co-op credit union",6850,7800,Tue Dec 23 2014 10:00:00 GMT-0800 (PST)
2013,Mercedes-Benz,C-Class,C300 Sport 4MATIC,sedan,automatic,wddgf8ab0da840538,ca,4.4,9022,black,black,"mercedes-benz usa",25400,22000,Thu Jun 04 2015 05:00:00 GMT-0700 (PDT)
2006,Honda,Civic,LX,Coupe,automatic,2hgfg12656h553651,ca,2.1,228623,white,beige,"hoehn honda",2150,3700,Wed Feb 25 2015 04:30:00 GMT-0800 (PST)
2014,Buick,Enclave,Leather Group,suv,,5gakvbkdxej374771,co,3,23044,white,tan,"gm remarketing",33000,32600,Tue Jun 16 2015 04:30:00 GMT-0700 (PDT)
2013,Dodge,Avenger,SXT,Sedan,automatic,1c3cdzcb1dn661262,fl,3.5,57145,gray,black,"the hertz corporation",9800,10300,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
2006,Ford,F-150,XLT,SuperCab,automatic,1ftpx14566fb13639,ne,2.1,65670,gray,gray,"first investors servicing corp",10950,5500,Wed Jan 14 2015 02:00:00 GMT-0800 (PST)
2010,Ford,Focus,S,Sedan,automatic,1fahp3enxaw150819,fl,3.8,6541,gray,gray,"ford motor credit company,llc",7375,7700,Fri Feb 13 2015 01:00:00 GMT-0800 (PST)
2011,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap2bn498720,tx,1,44585,gray,black,"security service fcu (sscu)",10550,3600,Wed Mar 04 2015 04:30:00 GMT-0800 (PST)
2013,Honda,Pilot,Touring w/Navigation and Rear Entertainment,suv,automatic,5fnyf4h94db064724,in,4.7,39329,silver,black,"honda of america manufacturing",29000,30000,Thu Jun 11 2015 03:00:00 GMT-0700 (PDT)
2007,Chevrolet,Tahoe,LT,suv,automatic,1gnfc13087r235231,tx,3.5,110213,white,black,"cm investments",13300,13000,Wed May 27 2015 03:00:00 GMT-0700 (PDT)
2012,Porsche,Panamera,4,Sedan,automatic,wp0aa2a74cl016620,fl,3.9,37536,black,black,"porsche financial services",49700,52600,Tue Feb 10 2015 04:15:00 GMT-0800 (PST)
2012,Volvo,XC60,3.2,SUV,automatic,yv4952dlxc2270643,tn,3.5,99266,gray,tan,"santander consumer",12150,12000,Tue Feb 17 2015 02:30:00 GMT-0800 (PST)
2013,Volkswagen,Jetta,SE PZEV,Sedan,automatic,3vwdp7ajxdm413136,nv,2.4,45166,silver,black,"avis corporation",10300,10100,Fri May 29 2015 05:00:00 GMT-0700 (PDT)
2010,Toyota,Yaris,Base,Sedan,automatic,jtdbt9k35a4070759,pr,2.7,41707,beige,black,"oriental bank",7900,6000,Thu Jan 15 2015 03:30:00 GMT-0800 (PST)
2014,Dodge,Avenger,SE,sedan,automatic,1c3cdzab0en166202,il,1.9,19774,blue,black,"chrysler capital",11650,10000,Tue Jun 09 2015 03:00:00 GMT-0700 (PDT)
2014,Buick,Enclave,Leather Group,SUV,automatic,5gakvbkd6ej377005,il,4,29564,white,brown,"gm remarketing",31500,32300,Thu Jun 11 2015 04:00:00 GMT-0700 (PDT)
2004,Toyota,Highlander,Base,suv,,jteep21ax40002165,pa,3.9,142666,gold,beige,"car sense inc",6175,6100,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
2007,Ford,Mustang,Premium,coupe,automatic,1zvft80n975239584,fl,3.7,57829,black,beige,"enterprise vehicle exchange / rental / tulsa",8850,8600,Fri May 29 2015 02:25:00 GMT-0700 (PDT)
2014,GMC,Sierra 1500,SLE,Double Cab,automatic,1gtv2uec9ez125303,mn,4.9,10733,blue,black,"select lane",30300,28000,Thu Jan 22 2015 02:30:00 GMT-0800 (PST)
2015,Kia,Sorento,LX,suv,automatic,5xykt3a62fg588457,wi,5,13449,gray,black,"kia motors america, inc",18450,20300,Wed Jun 17 2015 03:30:00 GMT-0700 (PDT)
2014,BMW,3 Series,328i,Sedan,automatic,wba3a5g54enp30798,oh,4.4,11991,gray,black,"bmw north america greer",29300,30500,Tue Dec 30 2014 14:00:00 GMT-0800 (PST)
2013,Ford,Escape,SEL,suv,automatic,1fmcu9h93duc58550,tn,4.5,26696,—,black,"ford motor credit company,llc",20700,20100,Wed Jun 03 2015 03:00:00 GMT-0700 (PDT)
1992,Honda,Accord,LX,Sedan,automatic,1hgcb7658na220167,ga,2,179802,red,gray,"capital auto auction",600,500,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2012,BMW,X5,xDrive35d,SUV,automatic,5uxzw0c54c0b89822,ca,3.9,53775,blue,gray,"financial services remarketing/rail cars",30400,31250,Wed May 27 2015 05:30:00 GMT-0700 (PDT)
2012,Volkswagen,Jetta,SE PZEV,Sedan,automatic,3vwdp7aj7cm415067,ca,2.5,30126,—,beige,"vw credit",10300,9000,Thu May 21 2015 05:30:00 GMT-0700 (PDT)
2015,Kia,Cadenza,Premium,Sedan,automatic,knaln4d73f5170942,oh,4.6,7124,blue,black,"kia motors america, inc",21700,21500,Tue Jun 09 2015 02:30:00 GMT-0700 (PDT)
2009,Honda,Pilot,Touring,SUV,automatic,5fnyf48879b049245,ca,,101408,gray,—,"dublin honda",15600,15900,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2014,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap5ec329944,il,5,885,—,black,"nissan-infiniti lt",17500,20700,Thu Jan 22 2015 02:00:00 GMT-0800 (PST)
2013,Hyundai,Accent,GLS,Sedan,automatic,kmhct4ae4du275936,pr,3.5,36468,white,gray,"oriental bank",9775,9000,Thu Jan 08 2015 11:30:00 GMT-0800 (PST)
2012,Ford,Fusion,SEL,Sedan,automatic,3fahp0cg5cr220297,hi,4.2,45485,silver,gray,"wheels exchange llc",13400,11500,Wed Jan 14 2015 06:35:00 GMT-0800 (PST)
2014,FIAT,500L,Pop,Wagon,automatic,zfbcfaah3ez017550,fl,4,14102,white,black,"hertz corporation/gdp",11600,11900,Mon Feb 16 2015 04:30:00 GMT-0800 (PST)
2014,Nissan,Quest,SV,minivan,automatic,jn8ae2kp3e9101214,fl,4.5,6293,white,gray,"nissan motor acceptance corporation",22200,21400,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
2007,Nissan,Maxima,3.5 SE,Sedan,automatic,1n4ba41e47c837940,ca,2,115102,black,black,"tradewinds remarketing",5450,4100,Tue Jan 27 2015 04:00:00 GMT-0800 (PST)
2008,Volkswagen,Jetta,SEL PZEV,Sedan,automatic,3vwrz71k78m151929,ma,2,223749,black,tan,"boch new to you superstore",3525,2000,Thu Jan 15 2015 10:30:00 GMT-0800 (PST)
2005,Mercedes-Benz,CLK-Class,CLK320,Convertible,automatic,wdbtk65g15t049003,tx,1.9,88627,black,black,"fdic leasing",7750,5600,Thu Feb 12 2015 03:00:00 GMT-0800 (PST)
2010,Honda,Civic,EX,Coupe,automatic,2hgfg1b8xah510272,fl,2.5,60398,silver,black,"lexus of north miami",8975,8000,Fri Feb 20 2015 01:30:00 GMT-0800 (PST)
2010,Dodge,Charger,SXT Fleet,Sedan,automatic,2b3ca3cv9ah307832,ca,2.4,60084,black,black,"myrddin fleet services",10550,9500,Wed Dec 31 2014 12:30:00 GMT-0800 (PST)
2012,Ford,F-150,Lariat,SuperCrew,automatic,1ftfw1et6cfa98924,ga,4.8,43975,white,beige,"carl black chevrolet buick gmc",29900,31300,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
2004,Porsche,Boxster,Base,Convertible,manual,wp0ca29854s620271,fl,2.9,98524,black,gray,"dab auto world & leasing",7025,8300,Tue Mar 03 2015 08:00:00 GMT-0800 (PST)
2012,Mercedes-Benz,R-Class,R350 BlueTEC,wagon,,4jgcb2fe3ca148773,pa,4.2,28076,black,black,"rjk auto brokers llc",27200,29250,Thu May 28 2015 02:30:00 GMT-0700 (PDT)
2006,Toyota,4Runner,SR5,SUV,automatic,jtebu14r668061077,pa,4.9,133639,white,black,"adcock brothers inc",10450,12000,Fri Feb 06 2015 01:00:00 GMT-0800 (PST)
2009,Ford,Econoline Cargo,E-350 Super Duty,Van,automatic,1ftse34l39da14934,co,2.8,83653,white,gray,"lease plan usa",9850,11800,Tue Feb 10 2015 04:00:00 GMT-0800 (PST)
2012,Dodge,Avenger,SXT,Sedan,automatic,1c3cdzcb4cn156928,tn,3.7,76850,gray,black,"westlake financial services",7725,8000,Tue Feb 03 2015 02:30:00 GMT-0800 (PST)
2010,Toyota,Corolla,Base,Sedan,automatic,1nxbu4ee2az378383,fl,3.9,117331,black,black,"regional acceptance corporation / greenville",7450,6600,Wed Feb 04 2015 01:00:00 GMT-0800 (PST)
2013,Hyundai,Elantra,Limited,Sedan,automatic,kmhdh4ae2du582530,in,4.5,32791,black,tan,"southside auto sales llc",13500,14200,Thu Jan 22 2015 02:10:00 GMT-0800 (PST)
2011,Toyota,Corolla,LE,Sedan,automatic,2t1bu4ee4bc740801,fl,3.7,35095,silver,gray,"world omni financial corporation",10700,10000,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
1995,Lexus,LS 400,Base,Sedan,automatic,jt8uf22exs0027437,nj,2,141479,blue,brown,"autolenders liquidation center",2050,1850,Wed Feb 25 2015 01:30:00 GMT-0800 (PST)
2006,ford,f150,4x4 ex stx,,automatic,1ftrx14w56fa10374,nc,3.5,133919,gold,beige,"crossroads ford inc",6600,10200,Mon Jan 12 2015 09:00:00 GMT-0800 (PST)
2014,Ford,Explorer,Limited,SUV,automatic,1fm5k8f85egc07912,tn,4.5,19408,—,black,"ars/enterprise",28200,29200,Thu May 28 2015 04:00:00 GMT-0700 (PDT)
2012,Scion,tC,Base,hatchback,automatic,jtkjf5c71c3036915,az,3.6,100949,black,black,"more mazda",9375,9500,Thu Jun 18 2015 05:30:00 GMT-0700 (PDT)
1997,Pontiac,Grand Prix,GTP,Coupe,automatic,1g2wp1210vf333017,pa,3,185849,red,beige,"car sense inc",675,450,Tue Feb 17 2015 05:01:00 GMT-0800 (PST)
2013,Toyota,Prius,Two,Hatchback,automatic,jtdkn3du5d1615796,pa,3.5,36044,red,beige,"avis corporation",15000,14600,Fri Jan 02 2015 09:00:00 GMT-0800 (PST)
2010,Ford,Transit Connect,Cargo Van XLT,minivan,automatic,nm0ls7bn1at037872,tn,3.4,108180,white,gray,"ge fleet services for itself/servicer",8650,8000,Wed Jun 03 2015 03:30:00 GMT-0700 (PDT)
2013,Hyundai,Genesis,3.8,Sedan,automatic,kmhgc4dd5du229813,nc,2.8,57108,silver,black,"the hertz corporation",14400,14200,Tue Jan 20 2015 01:15:00 GMT-0800 (PST)
2015,Jeep,Wrangler,Unlimited Freedom Edition,SUV,automatic,1c4bjwdg6fl508545,mn,4,10,silver,black,"chrysler group,llc",35900,27900,Wed Jan 28 2015 05:00:00 GMT-0800 (PST)
2011,Nissan,Maxima,3.5 SV,Sedan,automatic,1n4aa5ap3bc866468,fl,4.5,27107,—,black,"nissan-infiniti lt",17650,17800,Tue Jan 06 2015 13:00:00 GMT-0800 (PST)
2006,BMW,3 Series,330i,Sedan,,wbavb33586ps10559,nj,1.8,106457,gray,black,"united auto credit/newport beach",8250,6300,Wed Jan 14 2015 01:30:00 GMT-0800 (PST)
2012,Ford,Fusion,SE,sedan,automatic,3fahp0ha6cr280271,nj,3.3,24660,gray,black,"ford motor credit company,llc",12000,11000,Wed Jun 03 2015 02:00:00 GMT-0700 (PDT)
2014,Chevrolet,Captiva Sport,LT Fleet,suv,automatic,3gnal3ek7es585755,il,4.3,37676,silver,black,"santander consumer",13950,15100,Tue Jun 16 2015 03:00:00 GMT-0700 (PDT)
