year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
2010,,,,,automatic,1c3cc4fd2an126942,nj,3.6,97626,white,gray,"holman ford lincoln turnersville",6775,6500,Wed Jun 10 2015 02:30:00 GMT-0700 (PDT)
2011,Mazda,Mazda6,i Grand Touring,sedan,automatic,1yvhz8ch7b5m00971,mi,4.4,53858,white,black,"mobilease",11600,12600,Thu Jun 18 2015 02:30:00 GMT-0700 (PDT)
2014,Ford,Explorer,XLT,suv,,1fm5k7d81egc50687,tx,5,33848,brown,black,"avis budget group",24600,25600,Wed Jun 17 2015 04:00:00 GMT-0700 (PDT)
2013,Ford,Fusion,Titanium,Sedan,automatic,3fa6p0k97dr281498,pa,3.5,36836,black,black,"avis budget group",17500,16400,Wed Jan 14 2015 01:00:00 GMT-0800 (PST)
2014,,,,,automatic,2g4gv5ek7e9314633,fl,3,15700,black,black,"gm remarketing",18350,18900,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
2010,Nissan,Rogue,SL,SUV,automatic,jn8as5mv7aw103811,oh,3.8,95070,gray,black,"bobb automotive inc",9150,10500,Tue Jan 13 2015 09:30:00 GMT-0800 (PST)
2014,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bg4er156909,va,3.6,41206,burgundy,black,"enterprise veh exchange/rental",17150,17100,Thu Jan 15 2015 01:20:00 GMT-0800 (PST)
2009,Chevrolet,Malibu,LT2,Sedan,automatic,1g1zj57b494164892,nc,2.1,102994,gold,beige,"summs skip & collections",6225,5600,Mon Jun 01 2015 02:30:00 GMT-0700 (PDT)
2013,Ford,F-150,FX2,SuperCrew,automatic,1ftfw1cfxdfb46004,ga,3.4,47736,white,gray,"capital one auto finance",24200,22000,Tue Jan 13 2015 09:30:00 GMT-0800 (PST)
2004,Dodge,Ram Pickup 1500,SLT,Quad Cab,automatic,1d7hu18d74s532172,ca,2.5,170034,white,black,"reliable credit association/federal way",4650,3800,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2001,Ford,F-150,Lariat,SuperCab,,1ftrx17l21na31196,fl,1.9,216969,blue,black,"autonation chevrolet coral gables",2200,2700,Tue Feb 24 2015 10:00:00 GMT-0800 (PST)
2007,Chevrolet,Express Cargo,2500,Van,automatic,1gcgg25v971239285,pa,2.1,206676,white,gray,"ari",4350,1350,Tue May 12 2015 02:30:00 GMT-0700 (PDT)
2013,Infiniti,G Sedan,G37x,g sedan,automatic,jn1cv6ar0dm755584,nj,3.5,25566,white,black,"nissan infiniti lt",20900,20500,Wed Jun 10 2015 02:30:00 GMT-0700 (PDT)
2007,Jeep,Wrangler,Unlimited Sahara,SUV,manual,1j8ga59187l121543,mo,3.7,93490,green,gray,"fenton auto sales",15900,16500,Tue Feb 10 2015 03:00:00 GMT-0800 (PST)
2006,,,,,automatic,salsf25406a977956,ga,3.1,84985,blue,gray,"santander consumer",15200,14200,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
2011,Hyundai,Sonata,SE,Sedan,automatic,5npec4ab7bh175436,fl,2.7,35530,blue,gray,"hyundai motor finance",12300,12000,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
2014,Toyota,Avalon Hybrid,Limited,sedan,automatic,4t1bd1eb7eu035790,md,2.1,26595,gold,tan,"chrysler capital",25600,22250,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
2012,Volkswagen,Jetta,TDI,Sedan,manual,3vw3l7aj2cm340415,wa,1.9,78539,white,black,"vw credit",11700,11800,Wed Feb 18 2015 04:30:00 GMT-0800 (PST)
2012,Infiniti,M,M37,Sedan,automatic,jn1by1apxcm333065,ga,4.1,52495,black,beige,"nissan infiniti lt",23400,25300,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
2005,Nissan,Armada,SE,suv,automatic,5n1aa08a85n714575,tx,3.4,166233,silver,gray,"jpmorgan chase bank,n.a.",5275,5300,Wed Jun 17 2015 03:15:00 GMT-0700 (PDT)
2013,Nissan,Pathfinder,Platinum,SUV,automatic,5n1ar2mm5dc649117,fl,4.3,33316,red,tan,"cire leasing",25700,27900,Tue Feb 24 2015 01:15:00 GMT-0800 (PST)
2002,,,,,,1fmzu73k02ud48437,fl,3.1,198563,gray,beige,"autonation honda sanford",1125,1300,Tue Jun 16 2015 12:05:00 GMT-0700 (PDT)
2012,Nissan,Rogue,S,SUV,automatic,jn8as5mv0cw717893,nj,4.6,13721,gray,black,"nissan-infiniti lt",14750,15600,Wed May 27 2015 02:30:00 GMT-0700 (PDT)
2011,Chevrolet,Traverse,LS,SUV,,1gnkreed2bj268415,pr,4.4,107819,gray,gray,"ge fleet services for itself/servicer",9975,8200,Thu Jan 15 2015 03:00:00 GMT-0800 (PST)
2013,Hyundai,Sonata,Limited,Sedan,automatic,5npec4ab0dh562557,fl,3.6,81396,white,tan,"answer one motors",14200,14500,Tue Jan 20 2015 01:00:00 GMT-0800 (PST)
2015,Kia,Sorento,LX,SUV,automatic,5xykt3a61fg583654,nv,4.9,11974,white,gray,"kia motors america, inc",19500,20100,Fri Mar 06 2015 04:00:00 GMT-0800 (PST)
2009,Jeep,Grand Cherokee,Laredo,SUV,,1j8gr48kx9c545886,ga,2.8,109191,beige,gray,"onemain rem/manheim georgia",8425,8200,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
2005,BMW,5 Series,545i,sedan,automatic,wbanb33505cn64873,ca,3.6,99806,black,tan,"premium auto wholesale",5950,8800,Thu May 28 2015 05:00:00 GMT-0700 (PDT)
2015,Chrysler,200,S,Sedan,automatic,1c3cccbg8fn525260,il,4,9298,gray,black,"chrysler group,llc",18300,17500,Thu Feb 26 2015 03:00:00 GMT-0800 (PST)
2007,Mercury,Montego,Base,Sedan,automatic,1mehm40127g612384,nj,1.9,107766,red,gray,"santander consumer",4550,1900,Wed Feb 04 2015 01:30:00 GMT-0800 (PST)
2014,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap2ec174382,tn,4.9,23914,—,tan,"nissan north america inc.",15650,21100,Thu Jan 29 2015 02:00:00 GMT-0800 (PST)
2013,Hyundai,Elantra,Limited,sedan,automatic,5npdh4aexdh187106,fl,2.4,31448,white,beige,"hyundai motor finance",13250,12800,Thu Jun 04 2015 03:20:00 GMT-0700 (PDT)
2007,Volvo,XC90,3.2,SUV,automatic,yv4cz982471365652,nv,3.5,103667,silver,black,"remarketing by ge/manheim nevada",7875,7200,Fri Feb 27 2015 04:00:00 GMT-0800 (PST)
2014,Toyota,Corolla,S,sedan,automatic,2t1burhe0ec185911,fl,4.7,15124,white,black,"world omni financial corporation",14700,15900,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
2006,Mercury,Grand Marquis,LS Premium,Sedan,automatic,2mefm75w56x643988,tx,1.7,151892,gray,gray,"quality acceptance",1625,2000,Wed Jan 07 2015 10:05:00 GMT-0800 (PST)
2014,Chevrolet,Silverado 1500,LTZ,Crew Cab,automatic,3gcuksec1eg315225,co,4.4,7488,silver,black,"emich chevrolet",37100,37500,Wed Feb 04 2015 03:45:00 GMT-0800 (PST)
2012,Infiniti,G Sedan,G25x,g sedan,automatic,jn1dv6ar6cm861167,nj,3.5,33636,white,beige,"nissan infiniti lt",17100,15800,Wed Jun 17 2015 02:30:00 GMT-0700 (PDT)
2012,Toyota,Sienna,Base 7-Passenger,Minivan,,5tdzk3dc1cs246869,pa,1.9,54014,gray,gray,"citiwide auto leasing",14650,13300,Fri Feb 20 2015 09:00:00 GMT-0800 (PST)
2013,Nissan,Altima,2.5,sedan,automatic,1n4al3ap0dc169129,pa,4.3,42571,gray,tan,"nissan-infiniti lt",15100,16600,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
2012,Cadillac,CTS Coupe,Base,CTS Coupe,,1g6dc1e33c0133683,pa,4.1,48607,black,black,"gm financial leasing",19200,20600,Fri Feb 06 2015 01:00:00 GMT-0800 (PST)
2011,Jaguar,XJ,Base,Sedan,automatic,sajwa1cb7blv08835,ca,2.5,39932,gray,gray,"jpmorgan chase bank,n.a.",33300,33500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2007,Nissan,Altima,2.5 S,Sedan,automatic,1n4al21e87c202083,tx,,112869,black,gray,"brown hyundai of laredo",5200,3700,Wed Dec 17 2014 10:00:00 GMT-0800 (PST)
2001,Ford,Taurus,SEL,Sedan,automatic,1fahp56s91g139286,oh,1,184755,gold,beige,"check into cash inc.",875,275,Tue Jan 13 2015 13:00:00 GMT-0800 (PST)
2012,GMC,Sierra 1500,Work Truck,regular cab,automatic,1gtn2tea2cz144118,wi,4.5,25247,blue,black,"fiserv/usb dealer services northstar exchange",19150,20400,Wed Jun 17 2015 03:00:00 GMT-0700 (PDT)
2014,Jeep,Wrangler,Unlimited Rubicon,suv,,1c4bjwfg8el191847,ga,5,8767,black,black,"mcdonald auto sales & leasing",36300,41000,Thu Jun 04 2015 03:00:00 GMT-0700 (PDT)
2009,Mercedes-Benz,C-Class,C300 Luxury,Sedan,automatic,wddgf54xx9f269544,fl,2.9,75279,white,gray,"braman motors",13850,13400,Thu Dec 18 2014 09:15:00 GMT-0800 (PST)
2008,Suzuki,XL7,Premium,SUV,automatic,2s3da217786110022,ut,,88297,black,gray,"markosian auto, inc",4950,4700,Wed Dec 17 2014 11:30:00 GMT-0800 (PST)
2007,Cadillac,Escalade,Base,SUV,automatic,1gyec63867r382763,nv,4.3,64968,black,black,"motor city",23200,24500,Fri May 22 2015 05:00:00 GMT-0700 (PDT)
2013,Buick,Encore,Leather,suv,automatic,kl4cjcsb2db194030,in,3.5,43844,brown,brown,"gm financial",15250,16200,Thu Jun 04 2015 03:10:00 GMT-0700 (PDT)
2005,Ford,Excursion,Limited,SUV,automatic,1fmsu43p35ea31102,ca,3.6,186262,beige,beige,"hemborg ford",10150,9700,Tue Jan 20 2015 04:30:00 GMT-0800 (PST)
2010,Nissan,Versa,1.8 S,Sedan,automatic,3n1bc1ap1al369720,il,3.8,65638,gray,black,"santander consumer",5250,6200,Tue Jan 20 2015 02:00:00 GMT-0800 (PST)
2008,Ford,Econoline Wagon,E-350 Super Duty XLT,Van,,1fbss31l18db53721,va,3.4,92544,white,gray,"ourismans rockmont chevrolet",10050,10900,Thu Feb 05 2015 01:35:00 GMT-0800 (PST)
2010,Dodge,Grand Caravan,SXT,Minivan,automatic,2d4rn5d1xar409156,nc,4.2,81035,white,black,"medlin buick gmc mazda",8225,9400,Tue Dec 23 2014 09:15:00 GMT-0800 (PST)
2005,Buick,LaCrosse,CX,Sedan,automatic,2g4wc562051315542,ca,4.1,69694,silver,gray,"nvp remarketing",5300,7000,Tue Jan 06 2015 04:00:00 GMT-0800 (PST)
2013,Dodge,Grand Caravan,SE,Minivan,automatic,2c4rdgbg1dr590462,ma,4.1,136778,blue,black,"ge fleet services for itself/servicer",8725,6700,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
2010,Volkswagen,Touareg,V6 TDI,SUV,,wvgfk7a95ad001595,pa,3.5,99169,black,black,"royal coast auto inc",17400,17000,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
2012,Hyundai,Sonata,Limited,Sedan,,5npec4ac6ch409060,pa,4.4,77572,white,beige,"boone trail autohaus",12600,13700,Fri Feb 20 2015 09:00:00 GMT-0800 (PST)
2007,BMW,X3,3.0si,SUV,automatic,wbxpc93477wf25837,mn,3.3,96991,blue,black,"bmw of minnetonka",9625,9500,Tue Dec 30 2014 14:00:00 GMT-0800 (PST)
2012,,,,,automatic,wbakb8c51cdx20619,ca,4.7,29981,white,gray,"financial services remarketing (lease)",40400,42500,Thu May 21 2015 05:30:00 GMT-0700 (PDT)
2006,Ford,Focus,ZX4 SES,Sedan,automatic,1fafp34n36w123462,wa,2,111881,burgundy,gray,"enterprise fleet management exchange, inc.",2675,2100,Wed Feb 18 2015 05:45:00 GMT-0800 (PST)
2008,Mercedes-Benz,C-Class,C350 Sport,sedan,automatic,wddgf56x78f113070,tx,3.5,114132,black,—,"southern auto finance co/ft. lauderdale",11550,9200,Wed Jun 17 2015 03:00:00 GMT-0700 (PDT)
2011,Chevrolet,Aveo,Aveo5 2LT,Hatchback,automatic,kl1tg6de3bb244953,nv,3.8,59730,red,beige,"wells fargo dealer services",6675,8500,Fri Feb 20 2015 04:00:00 GMT-0800 (PST)
2010,Dodge,Grand Caravan,SE,Minivan,automatic,2d4rn4de3ar439435,ut,2.9,79902,red,gray,"ge fleet services for itself/servicer",7550,8700,Wed Jan 28 2015 03:30:00 GMT-0800 (PST)
2012,Honda,Civic,LX,sedan,automatic,19xfb2f54ce051726,il,2.7,38529,black,gray,"ahfc/honda lease trust/hvt, inc. eot",10400,10200,Thu Jun 11 2015 03:00:00 GMT-0700 (PDT)
2013,Toyota,Corolla,LE,Sedan,automatic,5yfbu4ee8dp172118,mn,4.1,60157,black,gray,"hertz car exchange inc/oklahoma city",10250,10500,Wed Jan 07 2015 10:30:00 GMT-0800 (PST)
2013,Ford,Fusion,Titanium,Sedan,,3fa6p0d92dr211100,pa,3.9,18760,white,black,"ford motor credit company,llc",21700,21300,Fri Mar 06 2015 01:00:00 GMT-0800 (PST)
2005,Toyota,Sienna,CE 7-Passenger,Minivan,automatic,5tdza23c45s343341,ca,2.5,178655,white,beige,"billion dodge chrysler jeep",3950,4400,Wed Jan 14 2015 04:30:00 GMT-0800 (PST)
2012,BMW,3 Series,328i,Wagon,automatic,wbaut9c54ca192197,ca,3.6,31960,gray,—,"financial services remarketing (lease)",25700,25500,Thu May 21 2015 05:30:00 GMT-0700 (PDT)
2013,Lexus,GS 350,Base,Sedan,automatic,jthbe1bl5d5007590,tn,4.5,57161,black,black,"lexus of cool springs",30300,26000,Wed Feb 25 2015 02:30:00 GMT-0800 (PST)
2014,Subaru,Legacy,2.5i Limited PZEV,Sedan,automatic,4s3bmbl67e3024830,fl,5,17968,silver,black,"subaru of america",20900,21000,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
2006,Toyota,Matrix,XR,Wagon,manual,2t1kr32e56c606207,ca,3,102813,black,black,"gosch hyundai",4750,3500,Thu Feb 12 2015 04:00:00 GMT-0800 (PST)
2014,Ford,E-Series Wagon,E-350 Super Duty XLT,Van,,1fbss3bl7edb00323,pa,4.8,10564,white,gray,"ford motor credit company",25000,25400,Fri Feb 06 2015 01:00:00 GMT-0800 (PST)
2008,Buick,LaCrosse,Super,Sedan,automatic,2g4wn58c881286957,oh,4.3,61756,silver,gray,"jr's auto city inc",10600,10000,Tue Feb 03 2015 01:30:00 GMT-0800 (PST)
2013,GMC,Sierra 1500,Denali,Crew Cab,,3gtp2xe25dg203544,pa,3.7,61706,white,beige,"manheim imports",29900,31750,Fri Mar 06 2015 01:00:00 GMT-0800 (PST)
2013,Ram,1500,SLT,Crew Cab,automatic,1c6rr7lt7ds636119,tx,4.2,101521,black,gray,"wheels lt",18200,20200,Thu May 21 2015 04:00:00 GMT-0700 (PDT)
2008,Mercedes-Benz,GL-Class,GL550,SUV,automatic,4jgbf86ex8a315317,or,2.8,86857,black,black,"beaverton kia",20000,23000,Tue Feb 17 2015 04:30:00 GMT-0800 (PST)
2003,Volkswagen,Jetta,GLS,Sedan,automatic,3vwsk69m23m180947,fl,1.9,124277,gray,black,"autonation nissan kendall",1750,1800,Tue Jan 06 2015 18:00:00 GMT-0800 (PST)
2013,Ford,Focus,SE,Sedan,automatic,1fadp3f23dl341684,sc,2.9,57222,gray,black,"the hertz corporation",8950,8800,Thu May 21 2015 02:15:00 GMT-0700 (PDT)
2001,Nissan,Maxima,GLE,Sedan,,jn1ca31d81t620160,md,1.9,78462,blue,gray,"darcars toyota",2575,1400,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
2009,Mercedes-Benz,C-Class,C350 Sport,Sedan,automatic,wddgf56x79r047183,pr,2.1,88897,gray,tan,"oriental bank",14550,8900,Thu Jan 22 2015 03:30:00 GMT-0800 (PST)
2007,Honda,Pilot,EX-L,SUV,automatic,2hkyf18567h500135,ma,2.8,136078,gray,gray,"metro kia of raynham",8625,6600,Tue Feb 17 2015 02:00:00 GMT-0800 (PST)
2004,Honda,Civic,LX,Sedan,manual,2hges15504h621526,fl,2.1,251529,black,gray,"autonation honda hollywood",1625,1200,Tue Jan 27 2015 10:00:00 GMT-0800 (PST)
2014,Ford,Fusion,Titanium,Sedan,automatic,3fa6p0k90er272854,tn,4.7,35454,black,black,"avis corporation",18650,18100,Wed Feb 18 2015 02:00:00 GMT-0800 (PST)
2009,Honda,Accord,EX-L V-6,Sedan,,1hgcp36879a014025,pa,2,102666,silver,black,"ahfc/honda lease trust/hvt, inc.",9750,7600,Fri Jan 02 2015 09:00:00 GMT-0800 (PST)
2014,Ford,Explorer,Limited,SUV,automatic,1fm5k8f84egc37001,tn,4.6,21309,—,black,"ars/enterprise",31500,31000,Wed Jan 21 2015 02:00:00 GMT-0800 (PST)
2003,Toyota,Camry,LE,Sedan,,4t1be32k13u658901,mi,3.2,250782,gray,gray,"remarketing by ge/michigan first credit union",2075,2100,Thu Jan 29 2015 01:30:00 GMT-0800 (PST)
2012,Nissan,Maxima,3.5 SV,Sedan,automatic,1n4aa5ap0cc843442,ga,2.8,28231,black,black,"nissan-infiniti lt",17900,15600,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
2012,Scion,xB,Base,Wagon,automatic,jtlze4fexcj009732,pa,2.9,64275,blue,black,"tdaf remarketing",9700,8200,Tue Feb 03 2015 01:30:00 GMT-0800 (PST)
2004,Ford,Explorer,XLT,SUV,automatic,1fmzu73wx4uc38467,nc,2.8,118798,black,beige,"north state acceptance",3175,3400,Mon Feb 09 2015 01:30:00 GMT-0800 (PST)
2012,Volkswagen,Jetta,Base,Sedan,automatic,3vw2k7aj4cm312937,ga,4.3,25006,—,brown,"vw credit, inc/pilot",9200,10400,Wed Feb 04 2015 01:30:00 GMT-0800 (PST)
2013,Lexus,RX 350,Base,SUV,,2t2zk1ba4dc094467,pa,4.4,16811,white,brown,"superior automotive sales i",33800,32600,Fri Dec 19 2014 09:00:00 GMT-0800 (PST)
2010,Kia,Soul,!,Wagon,manual,kndjt2a28a7125425,tx,4.1,42432,white,black,"santander consumer",9550,9200,Wed Jan 21 2015 02:00:00 GMT-0800 (PST)
2007,Ford,Edge,SE,suv,automatic,2fmdk36c57ba80320,tx,3.7,131698,off-white,beige,"td auto finance",6850,5900,Wed Jun 17 2015 03:15:00 GMT-0700 (PDT)
2005,Mercedes-Benz,SLK-Class,SLK350,Convertible,automatic,wdbwk56f75f040172,nc,3.6,66107,silver,black,"mercedes benz of northlake",12100,13300,Wed Jan 07 2015 14:30:00 GMT-0800 (PST)
2011,Dodge,Grand Caravan,Mainstreet,Minivan,automatic,2d4rn3dg0br613345,nc,3.7,77262,gray,black,"lease plan usa",9225,8800,Tue Jan 13 2015 09:15:00 GMT-0800 (PST)
2012,Ram,2500,SLT,Crew Cab,automatic,3c6ud5dl0cg296040,tx,2.9,96670,black,black,"barco fleet services",25600,21600,Thu Feb 05 2015 03:00:00 GMT-0800 (PST)
2008,Nissan,Altima,3.5 SE,Coupe,automatic,1n4bl24ex8c282312,nj,3.3,91253,silver,black,"merits auto & vans sale",8975,5000,Tue May 26 2015 02:15:00 GMT-0700 (PDT)
1997,Nissan,Maxima,SE,Sedan,automatic,jn1ca21d4vt215008,ca,1,176302,green,gray,"carson honda",925,550,Thu Feb 12 2015 04:00:00 GMT-0800 (PST)
2013,Ford,Focus,SE,Sedan,automatic,1fadp3f23dl243206,co,4.2,16705,silver,black,"ford motor credit company,llc pd",11500,11500,Wed Feb 11 2015 04:00:00 GMT-0800 (PST)
2011,Toyota,Camry,LE,Sedan,automatic,4t1bf3ekxbu164060,nv,2.6,46514,gray,beige,"remarketing by ge/manheim nevada",10700,11900,Fri May 22 2015 05:00:00 GMT-0700 (PDT)
2008,Dodge,Ram Pickup 1500,SLT,Quad Cab,automatic,1d7hu18208s535662,oh,4.4,76606,red,gray,"u s auto importing & sales",15250,13500,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
2006,Nissan,Titan,LE,King Cab,automatic,1n6aa06b66n545137,pa,2.7,82465,blue,black,"maritime motors of fairfield inc",11600,12100,Fri Dec 19 2014 09:30:00 GMT-0800 (PST)
2011,Hyundai,Sonata,Limited,sedan,automatic,5npec4ac7bh254968,fl,4.2,46604,white,beige,"orlando hyundai",12350,13600,Wed Jun 03 2015 02:25:00 GMT-0700 (PDT)
2013,Ford,Escape,SEL,SUV,automatic,1fmcu0h95dub85631,tn,3.9,48076,—,tan,"ge fleet services for itself/servicer",15250,15500,Wed Dec 31 2014 10:30:00 GMT-0800 (PST)
1997,,,,,automatic,2g1fp22k6v2119279,fl,1.9,87001,black,gray,"north palm hyundai",1600,1100,Tue Jun 02 2015 10:30:00 GMT-0700 (PDT)
2007,Lexus,ES 350,Base,Sedan,,jthbj46g672007050,ga,3.9,119324,white,beige,"carworks inc",9275,10300,Thu Mar 05 2015 02:00:00 GMT-0800 (PST)
2011,Ford,F-250 Super Duty,XL,supercab,automatic,1ft7x2b61bea07309,tx,2.3,137755,white,gray,"remarketing by ge/ak&y enterprises inc",10800,9500,Thu Jun 11 2015 04:00:00 GMT-0700 (PDT)
2009,Chevrolet,Impala,LT,Sedan,automatic,2g1wt57k791115713,va,1.9,74784,white,gray,"consumer portfolio services",7200,5200,Wed Feb 11 2015 01:30:00 GMT-0800 (PST)
2008,Chrysler,PT Cruiser,Base,Wagon,automatic,3a8fy48b38t213905,ca,2.4,81651,white,gray,"inland chevrolet",3250,2200,Thu Jan 08 2015 12:00:00 GMT-0800 (PST)
2013,Infiniti,G Coupe,G37 Sport,G Coupe,automatic,jn1cv6ek2dm921827,ca,4.6,11600,gray,black,"nissan infiniti lt",24800,24750,Thu May 21 2015 05:30:00 GMT-0700 (PDT)
2005,Mercedes-Benz,CLK-Class,CLK500,convertible,automatic,wdbtk75j25f162412,ca,3.1,67035,gold,gray,"auto house llc",11850,11100,Thu May 28 2015 05:00:00 GMT-0700 (PDT)
2011,Ford,Fusion,SE,Sedan,automatic,3fahp0hg2br264216,ca,4.3,80192,purple,black,"nvp remarketing",8950,9500,Tue May 19 2015 05:00:00 GMT-0700 (PDT)
2013,Ford,Edge,SEL,SUV,automatic,2fmdk3jcxdbb69772,mi,2.9,20243,white,black,"ford motor credit company,llc",22800,20500,Thu Jan 15 2015 01:00:00 GMT-0800 (PST)
2013,Ford,C-Max Hybrid,SE,Wagon,automatic,1fadp5au0dl533990,mo,4.3,21001,silver,tan,"ford motor credit company",13150,12100,Tue Jan 06 2015 03:00:00 GMT-0800 (PST)
2013,Hyundai,Elantra,Limited,Sedan,automatic,kmhdh4ae2du972303,ca,4.8,10564,black,gray,"hyundai motor america/co car",15350,16500,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2007,Mitsubishi,Galant,GTS V6,Sedan,automatic,4a3ab56sx7e032761,nc,2.8,79844,—,gray,"hendrick chrysler dodge jeep ram of concord",5175,6900,Wed Jan 07 2015 14:30:00 GMT-0800 (PST)
2008,Audi,Q7,3.6 Premium quattro,SUV,,wa1by74l58d027904,pa,3,123424,gray,black,"r hollenshead auto sales inc",12700,15100,Fri May 22 2015 02:00:00 GMT-0700 (PDT)
2003,Mercedes-Benz,C-Class,C320 Sport,sedan,automatic,wdbrf64j43f344751,tx,3.3,116589,silver,gray,"david mcdavids plano lincoln",4175,3500,Wed Jun 03 2015 03:20:00 GMT-0700 (PDT)
2013,Nissan,Altima,2.5,Sedan,,1n4al3ap2dn480498,ca,4.2,22207,—,black,"nissan-infiniti lt",14350,13250,Tue Jan 20 2015 04:30:00 GMT-0800 (PST)
2012,Lincoln,MKZ,Base,Sedan,automatic,3lnhl2gcxcr813450,il,2,30777,white,beige,"ford motor credit company,llc",15500,11800,Thu May 21 2015 03:00:00 GMT-0700 (PDT)
2011,Lexus,ES 350,Base,Sedan,automatic,jthbk1eg9b2466028,oh,3.8,38269,black,black,"lexus financial services",19000,19700,Tue Jan 13 2015 09:30:00 GMT-0800 (PST)
2011,Chevrolet,Impala,LS Fleet,Sedan,automatic,2g1wf5ek6b1334405,fl,3.6,67724,white,gray,"avon equipment leasing",7575,8000,Wed Feb 04 2015 07:10:00 GMT-0800 (PST)
2014,Ford,Escape,SE,SUV,automatic,1fmcu9g99eub66331,tn,3.6,37550,—,tan,"ars/avis budget group",18250,18100,Wed Feb 11 2015 02:00:00 GMT-0800 (PST)
2010,Chrysler,Town and Country,Touring,Minivan,automatic,2a4rr5d14ar141149,nj,2.7,66405,black,gray,"certified motor car llc",8800,9100,Wed Feb 04 2015 01:30:00 GMT-0800 (PST)
2014,Ford,F-150,Lariat,SuperCrew,automatic,1ftfw1cf5eke16572,tx,4.4,26226,burgundy,tan,"music city autoplex llc",34700,33000,Wed May 27 2015 03:20:00 GMT-0700 (PDT)
2006,Ford,Expedition,Limited,suv,automatic,1fmpu19586la63695,fl,1.9,178706,gray,gray,"autonation ford miami",3125,2000,Tue Jun 16 2015 10:30:00 GMT-0700 (PDT)
2013,smart,fortwo,pure coupe,hatchback,automatic,wmeej3ba9dk633733,nv,3.8,11636,red,black,"mercedes-benz financial services",6325,5500,Fri Jun 05 2015 05:00:00 GMT-0700 (PDT)
2011,Toyota,Corolla,LE,Sedan,automatic,2t1bu4ee6bc754764,oh,3.5,35548,blue,gray,"toyota financial services",10300,10100,Tue Feb 03 2015 01:30:00 GMT-0800 (PST)
2014,Toyota,Camry,SE,Sedan,automatic,4t1bf1fk3eu327526,ga,3.7,36411,blue,black,"toyota financial services/enterprise",15500,15400,Thu Jan 08 2015 10:00:00 GMT-0800 (PST)
2013,Ford,Escape,SE,SUV,automatic,1fmcu0gx3dub69721,mi,4.4,27143,gray,black,"ford motor credit company,llc",15650,15200,Wed Feb 11 2015 02:00:00 GMT-0800 (PST)
2011,Mazda,CX-7,i SV,SUV,,jm3er2am4b0400131,ca,3.2,55702,gray,black,"barber honda",10500,10700,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2005,Nissan,Sentra,1.8 S,Sedan,manual,3n1cb51a05l564384,tx,2.2,139610,black,black,"dt inventory",2100,2800,Tue May 26 2015 04:00:00 GMT-0700 (PDT)
2013,Ford,Escape,SEL,suv,automatic,1fmcu9h94duc94280,oh,4.1,52750,gray,black,"the hertz corporation",16000,15901,Tue Jun 09 2015 02:30:00 GMT-0700 (PDT)
2003,BMW,Z4,2.5i,Convertible,manual,4usbt33403lr65227,ca,1.9,99953,gray,gray,"remarketing by ge/nextgear capital",6025,4500,Tue Mar 03 2015 04:00:00 GMT-0800 (PST)
1999,Dodge,Durango,SLT,SUV,,1b4hs28y9xf601270,nc,1.9,187383,black,black,"dt inventory",850,800,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
2013,Ford,Escape,SEL,SUV,automatic,1fmcu0h90dud23382,il,4.4,33030,brown,tan,"ford motor credit company,llc",18300,18600,Thu May 28 2015 03:00:00 GMT-0700 (PDT)
2011,Chevrolet,Impala,LS Fleet,Sedan,automatic,2g1wf5ek7b1308282,md,2.7,66577,silver,black,"wells fargo dealer services",8250,7000,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
2004,Ford,Mustang,Premium,Coupe,automatic,1fafp40414f109141,ca,1.9,140705,orange,black,"800 loan mart",1300,2000,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2007,Volkswagen,Jetta,Wolfsburg Edition PZEV,sedan,automatic,3vweg71k97m155922,ca,2.1,106573,black,—,"mercedes benz of laguna niguel",3850,3300,Wed Jun 03 2015 05:30:00 GMT-0700 (PDT)
